,filename,page
0,DOE_2018-01-03.pdf,26
1,DOE_2018-01-12.pdf,30
2,DOE_2018-01-15.pdf,70
3,DOE_2018-01-24.pdf,28
4,DOE_2018-02-19.pdf,19
5,DOE_2018-02-28.pdf,24
6,DOE_2018-03-02.pdf,27
7,DOE_2018-03-21.pdf,34
8,DOE_2018-03-23.pdf,28
9,DOE_2018-04-26.pdf,103
10,DOE_2018-05-08.pdf,20
11,DOE_2018-05-15.pdf,57
12,DOE_2018-05-22.pdf,26
13,DOE_2018-05-29.pdf,47
14,DOE_2018-06-14.pdf,22
15,DOE_2018-06-20.pdf,35
16,DOE_2018-06-27.pdf,31
17,DOE_2018-06-28.pdf,40
18,DOE_2018-07-27.pdf,29
19,DOE_2018-07-31.pdf,27
20,DOE_2018-08-02.pdf,24
21,DOE_2018-08-07.pdf,146
22,DOE_2018-08-13.pdf,20
23,DOE_2018-09-10.pdf,47
24,DOE_2018-09-11.pdf,239
25,DOE_2018-09-17.pdf,77
26,DOE_2018-09-17.pdf,78
27,DOE_2018-09-19.pdf,39
28,DOE_2018-09-21.pdf,31
29,DOE_2018-09-27.pdf,34
30,DOE_2018-09-28.pdf,47
31,DOE_2018-11-09.pdf,36
32,DOE_2018-11-19.pdf,28
33,DOE_2018-11-19.pdf,29
34,DOE_2018-11-26.pdf,45
35,DOE_2018-11-29.pdf,29
